Navn;Navn Detaljeret;Adresse;Telefon;Email;Hjemmeside;Kommune;Region;Facilitetstype;Placering;Ejerforhold;Driftsherre;Eksterne bemærkninger;Gis X;Gis Y;UTM;Antal baner
Folevadsvej;;Folevadsvej 3, 2700 Brønshøj;;;https://kk.halbooking.dk;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;;720925;6180000;32N;Naturgræsbaner=2
Frankrigsgade Svømmehal;Form & Fitness;Frankrigsgade 35, 2300 København S;32 59 47 49;info@formogfitness.dk;https://formogfitness-cph.dk/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;727034;6174471;32N;
Frankrigsgade Svømmehal;Frankrigsgade Svømmehal;Frankrigsgade 35, 2300 København S;;fs@teambade.dk;https://svoemkbh.kk.dk/indhold/frankrigsgade-svoemmehal;København;Hovedstaden;Svømmeanlæg;Indendørs;Kommunal;Kommunal;"25 m. bassin med 6 baner

Andre svømmebassiner: øve-/børnebassin


";727034;6174471;32N;Svømmebassiner 25 m=1,Andre svømmebassiner=1
Frejaskolen Gymnastiksal nr. 43;;Rughavevej 6, 2500 Valby;;mail@frejaskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;721076;6174396;32N;
Frihavnens Skytteforening;;Århusgade 128B, 2100 København Ø;25 51 82 00;frihavnensskytteforening@gmail.com;https://idrætsalle.dk/profil/frihavnens-skytteforening/31383;København;Hovedstaden;Skydeanlæg;Udendørs;Privat;Forening;3 baner af 15 og 25 meter.;725751;6179326;32N;
Fysioterapi Nordvest;Fitnesscenter;Dortheavej 59, 1. sal, 2400 København NV;;klinik@fysser.dk;http://fysser.dk/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;721379;6179287;32N;
Fysisk Form Amager;;Lyneborggade 9, 2300 København S;;kontakt@fysiskform.dk;http://fysiskform.dk/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;727037;6174690;32N;
Fysisk Form Vesterbro;;Vesterbrogade 95A, 1620 København V;;info@fysiskform.dk;http://fysiskform.dk/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;723048;6175218;32N;
Fælledparken;Kastebur;Filosofgangen, 2100 København Ø;;;;København;Hovedstaden;Atletikanlæg;Udendørs;Kommunal;Forening;Andre faciliteter til: kastebur;724321;6179116;32N;Andre/delvise atletikanlæg=1
Fælledparken;Fodbold;Øster Alle, 2100 København Ø;;;;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;Etableringsår kunstgræsbane(r): 2009;724321;6179116;32N;Naturgræsbaner=9,Kunstgræsbaner=1
Gadelandet;;Gadelandet 23, 2700 Brønshøj;;;;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;;718843;6179438;32N;Naturgræsbaner=1
Gasværksvejens Skole;Gymnastiksal nr. 2;Gasværksvej 22, 1656 København V;;mail@gas.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723710;6175113;32N;
Gasværksvejens Skole;Gym-sal 1/samlingssal;Gasværksvej 22, 1656 København V;;mail@gas.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723710;6175113;32N;
Genforeningspladsen;ATK Arbejdernes Tennis Klub;Genforeningspladsen 54, 2400 København NV;;atk@atk-tennis.dk;http://www.atk-tennis.dk/;København;Hovedstaden;Tennisanlæg;Udendørs;Kommunal;Kommunal;;721079;6178300;32N;Grusbaner=10
Gerbrandskolen;Gymnastiksal nr. 1;Gerbrandsvej 9, 2300 København S;;mail@gerbrandskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;727557;6172755;32N;
Gerbrandskolen;Gymnastiksal nr. 2;Gerbrandsvej 9, 2300 København S;;mail@gerbrandskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;727557;6172755;32N;
Gerbrandskolen;Gymnastiksal nr. 3;Gerbrandsvej 9, 2300 København S;;mail@gerbrandskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;727557;6172755;32N;
Grøndal Multicenter;La Fit;Hvidkildevej 64, 2400 København NV;82 20 57 10;lafit@kff.kk.dk;https://grondalmulticenter.kk.dk/lafit;København;Hovedstaden;Fitnesscentre;Indendørs;Kommunal;Kommunal;;720928;6178338;32N;
Grøndal Multicenter;Fodboldbaner;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;Etableringsår kunstgræsbane(r): 2008;720928;6178338;32N;Naturgræsbaner=1,Kunstgræsbaner=1
Grøndal Multicenter;Dansesal A 1. sal;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk,;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720928;6178338;32N;
Grøndal Multicenter;Gymnastikområde;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720928;6178338;32N;
Grøndal Multicenter;KAFs dansesal B 1. sal;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;720928;6178338;32N;
Grøndal Multicenter;Brydelokale;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal; L16XB12XH3,5. Der er to brydemåtter i lokalet.;720928;6178338;32N;
Grøndal Multicenter;Judolokale Motion;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;L40XB15XH3,5. Måtteområde: 232 m2.;720928;6178338;32N;
Grøndal Multicenter;Bokselokale;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;L28XB12XH3,5;720928;6178338;32N;
Grøndal Multicenter;Bueskydningslokale;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;L20XB15XH3,5;720928;6178338;32N;
Grøndal Multicenter;Karatelokale;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;L40XB15XH3,5;720928;6178338;32N;
Grøndal Multicenter;Idrætshal E/Trampolinhallen;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;"Faciliteter til springgymnastik

Trampolinhallen er 543 m2. Hal E indeholder derudover to squashbaner.";720928;6178338;32N;
Grøndal Multicenter;Fægtelokale;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Privat;L20XB15XH3,5;720928;6178338;32N;
Grøndal Multicenter;Billardlokale;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;521 m2. Tre separate rum.  ;720928;6178338;32N;
Grøndal Multicenter;Bordtennislokale;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;570 m2;720928;6178338;32N;
Grøndal Multicenter;Idrætshal A;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;650 m2;720928;6178338;32N;
Grøndal Multicenter;Idrætshal B;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;650 m2;720928;6178338;32N;
Grøndal Multicenter;Idrætshal C;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;650 m2;720928;6178338;32N;
Grøndal Multicenter;Idrætshal D;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;650 m2;720928;6178338;32N;
Grøndal Multicenter;Idrætshal J;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;650 m2;720928;6178338;32N;
Grøndal Multicenter;Idrætshal K;Hvidkildevej 64, 2400 København NV;;infogroendal@kff.kk.dk;https://grondalmulticenter.kk.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;650 m2;720928;6178338;32N;
Grønnemosen;;Grønnemosen Allé 42, 2400 København NV;;;https://kk.halbooking.dk;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;;721008;6180954;32N;Naturgræsbaner=1
Guldbergskole;Dansesal 34;Guldbergsgade 99, 2200 København N;;mail@guldbergskole.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723245;6177987;32N;
Guldbergskole;Gymnastiksal 33 boldspil;Guldbergsgade 99, 2200 København N;;mail@guldbergskole.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723245;6177987;32N;
Guldbergskole;Gymnastiksal 50 dr.sal;Guldbergsgade 99, 2200 København N;;mail@guldbergskole.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723245;6177987;32N;
Guldbergskole;Gymnastiksal 51 Pigesal;Guldbergsgade 99, 2200 København N;;mail@guldbergskole.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723245;6177987;32N;
Hafnia-Hallen;Hafnia-Gym;Julius Andersens Vej 6, 2450 København SV;;kontakt@hafnia-hallen.dk;https://www.hafnia-hallen.dk/;København;Hovedstaden;Fitnesscentre;Indendørs;Kommunal;Selvejende institution;Styrketræningslokale.;720863;6172468;32N;
Hafnia-Hallen;Hafnia-Beach;Julius Andersens Vej 6, 2450 København SV;;kontakt@hafnia-hallen.dk;https://www.hafnia-hallen.dk/;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Selvejende institution;3 beachvolleybaner.;720863;6172468;32N;
Hafnia-Hallen;Hafnia-Kunstgræs;Julius Andersens Vej 6, 2450 København SV;;kontakt@hafnia-hallen.dk;https://www.hafnia-hallen.dk/;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Selvejende institution;8-mands kunstgræsfodboldbane. 65 x 45m. På siden af banen findes 100m løbebane. I hallen findes også klatrevæg.;720863;6172468;32N;
Hafnia-Hallen;Hafnia-Minibaner;Julius Andersens Vej 6, 2450 København SV;;kontakt@hafnia-hallen.dk;https://www.hafnia-hallen.dk/;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Selvejende institution;Der er fire baner til 4-mands fodbold.;720863;6172468;32N;
Hal C;Multirum;Arsenalvej 6, 1436 København K;3366 4700;;https://halc.kk.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;726479;6175905;32N;
Hal C;Styrketræningslokale;Arsenalvej 6, 1436 København K;3366 4700;;https://halc.kk.dk,;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;726479;6175905;32N;
Hal C;Multihal;Arsenalvej 6, 1436 København K;3366 4700;;https://halc.kk.dk;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;L44 x B22 x H8.;726479;6175905;32N;Håndboldbaner=1
Hanssted Skole;Gymnastiksal 32;Rødbyvej 2, 2500 Valby;;mail@hanssted.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;719250;6174492;32N;
Hanssted Skole;Gymnastiksal 35;Rødbyvej 2, 2500 Valby;;mail@hanssted.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;719250;6174492;32N;
Havnebadet Fisketorvet;;Kalvebod Brygge 55, 1560 København V;;fisken@teambade.dk;https://svoemkbh.kk.dk/fisketorvet;København;Hovedstaden;Svømmeanlæg;Udendørs;Kommunal;Kommunal;"50 m. bassin har ingen banemarkering

Andre svømmebassiner: springbassin, børnebassin (70 cm.)

***

Havnebad.

50 m. bassinet har banetove.  Der er udspringsplatforme på 1, 2 og 3 meter. ";724253;6174390;32N;Svømmebassiner 50 m=1,Andre svømmebassiner=2
Havnebadet Islands Brygge;;Islands Brygge 14, 2300 København S;;ib@teambade.dk;https://svoemkbh.kk.dk/islands-brygge;København;Hovedstaden;Svømmeanlæg;Udendørs;Kommunal;Kommunal;"Andre svømmebassiner: motionsbassin, børnebassin, småbørnsbassin (lavt)

***

Havnebad.

Motionsbassin til banesvømning (75 m.). Derudover er der udspringsplatforme på 1, 3 og 5 meter. ";724987;6175004;32N;Andre svømmebassiner=2
Havnebadet Sluseholmen;;Ben Websters Vej 69, 2450 København SV;;slusen@teambade.dk;https://svoemkbh.kk.dk/sluseholmen;København;Hovedstaden;Svømmeanlæg;Udendørs;Kommunal;Kommunal;"Andre svømmebassiner: motionsområde, ungdomsbassin, børnebassin (30 cm.)

***

Havnebad";723644;6172508;32N;Andre svømmebassiner=2
Heibergskolen;Idrætshal;Randersgade 10-12, 2100 København Ø;;mail@heibergskolen.kk.dk;https://heibergskolen.aula.dk/;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;L 28 B 17 H 5;725048;6178839;32N;
Hekla Park;;Artillerivej 190, 2300 København S;32 97 06 60;;https://kk.halbooking.dk;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal; ;724365;6172506;32N;Naturgræsbaner=2,Kunstgræsbaner=1
Hillerødgade Bad og Hal;Spejlsalen;Sandbjerggade 35, 2200 København N;;hillerodgade@kff.kk.dk;https://teambade.kk.dk/indhold/hilleroedgade-bad-og-hal;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;722428;6178005;32N;
Hillerødgade Bad og Hal;Hal;Sandbjerggade 35, 2200 København N;;hillerodgade@kff.kk.dk;https://www.hsk.dk/saadan-goer-vi/information-om-svoemmehaller/hilleroedgade-bad-og-hal/;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;31*18 m;722428;6178005;32N;
Hillerødgade Bad og Hal;Bordtennislokale;Sandbjerggade 35, 2200 København N;;hillerodgade@kff.kk.dk;https://www.hsk.dk/saadan-goer-vi/information-om-svoemmehaller/hilleroedgade-bad-og-hal/;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Kommunal;;722428;6178005;32N;
Hillerødgade Bad og Hal;;Sandbjerggade 35, 2200 København N;;hillerodgade@kff.kk.dk;https://svoemkbh.kk.dk/indhold/hilleroedgade-bad-og-hal;København;Hovedstaden;Svømmeanlæg;Indendørs;Kommunal;Kommunal;"25 m. bassin med 6 baner

***

Bassinet har 1 og 3m vipper.";722428;6178005;32N;Svømmebassiner 25 m=1
Holbergskolen;Gymnastiksal 46 drengesal;Frederiksborgvej 216, 2400 København NV;;kontor@holbergskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;721591;6181055;32N;
Holbergskolen;Gymnastiksal 47 pigesal;Frederiksborgvej 216, 2400 København NV;;kontor@holbergskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;721591;6181055;32N;
Holmens Idrætsanlæg;;Arsenalvej 6, 1436 København K;;;https://kk.halbooking.dk;København;Hovedstaden;Atletikanlæg;Udendørs;Kommunal;Kommunal;"100 m kunststofbane med 4 baner

Andre faciliteter til: kastering og længdespring";726494;6176015;32N;Andre/delvise atletikanlæg=1
Husum Skole;Gymnastiksal,drengesal 37;Karlslundevej 23, 2700 Brønshøj;38 28 07 68;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;718241;6178843;32N;
Husum Skole;Gymnastiksal, pigesal 36;Karlslundevej 23, 2700 Brønshøj;38 28 07 68;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;718241;6178843;32N;
Husumparken;;Nordrupvej, 2700 Brønshøj;;;;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;Etableringsår kunstgræsbane(r): 2015;718216;6178609;32N;Naturgræsbaner=2,Kunstgræsbaner=1
Damhusengens Skole;Gymnastiksal 56 - Drengesal;Hanstholmvej 10, 2720 Vanløse;;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;718845;6176502;32N;
Damhusengens Skole;Gymnastiksal 57 - Pigesal;Hanstholmvej 10, 2720 Vanløse;;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;718845;6176502;32N;
Idrætsfabrikken;Maskinrummet (SSB's træningslokale);Valdemarsgade 12, 1665 København V;33 79 67 79;ssb@ssb-sport.dk;https://ssb-sport.dk/produkt-kategori/fitness/;København;Hovedstaden;Fitnesscentre;Indendørs;Selvejende institution;Forening;100 m2 foreningsfitness. Er indrettet som fleksibelt fitnessrum – indeholder maskiner til styrke- og kredsløbstræning samt løbebånd. Frie vægte, bænkpres, spejle, måtter, ribber og elastikker m.m. ;723125;6175157;32N;
Idrætsfabrikken;Idrætsværkstedet;Valdemarsgade 12, 1665 København V;;;http://www.idraetsfabrikken.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;225 m2;723125;6175157;32N;
Idrætsfabrikken;Produktion 1;Valdemarsgade 12, 1665 København V;;;http://www.idraetsfabrikken.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;723125;6175157;32N;
Idrætsfabrikken;Produktion 2;Valdemarsgade 12, 1665 København V;;;http://www.idraetsfabrikken.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;723125;6175157;32N;
Idrætsfabrikken;Støberiet;Valdemarsgade 12, 1665 København V;;;http://www.idraetsfabrikken.dk, http://interbook.kk.dk/netinterbook;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;90 m2;723125;6175157;32N;
Idrætsfabrikken;Hallen;Valdemarsgade 12, 1665 København V;;;http://www.idraetsfabrikken.dk;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Selvejende institution;Selvejende institution;Ca. 540 m2. ;723125;6175157;32N;
Idrætshuset og Østerbro Stadion;Idrætslokale 1;Gunnar Nu Hansens Plads 7, 2100 København Ø;;halbooking@kff.kk.dk;http://idraetosterbro.kk.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;Størrelse: 8 x 10 meter;724597;6179013;32N;
Idrætshuset og Østerbro Stadion;Idrætslokale 2;Gunnar Nu Hansens Plads 7, 2100 København Ø;;halbooking@kff.kk.dk;http://idraetosterbro.kk.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;Størrelse: 8 x 10 meter;724597;6179013;32N;
Idrætshuset og Østerbro Stadion;Idrætslokale 3;Gunnar Nu Hansens Plads 7, 2100 København Ø;;halbooking@kff.kk.dk;http://idraetosterbro.kk.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;Størrelse: 8 x 10 meter;724597;6179013;32N;
Idrætshuset og Østerbro Stadion;Idrætslokale 4;Gunnar Nu Hansens Plads 7, 2100 København Ø;;halbooking@kff.kk.dk;http://idraetosterbro.kk.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;Størrelse: 8 x 10 meter;724597;6179013;32N;
Idrætshuset og Østerbro Stadion;Vægtløftningsrum;Gunnar Nu Hansens Plads 7, 2100 København Ø;;halbooking@kff.kk.dk;http://idraetosterbro.kk.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;724597;6179013;32N;
Idrætshuset og Østerbro Stadion;Store sal;Gunnar Nu Hansens Plads 7, 2100 København Ø;;halbooking@kff.kk.dk;https://kulturoesterbro.kk.dk/;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Kommunal;Kommunal;"Størrelse: 19 meter bred, 44 meter lang og 13 meter høj.

Der spilles håndbold i hallen, men banen holder ikke standardmål.";724597;6179013;32N;
Ingrid Jespersens Gymnasieskole;Lille sal;Nordre Frihavnsgade 9, 2100 København Ø;;ijg@ijg.dk;http://ijg.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;724855;6178530;32N;
Ingrid Jespersens Gymnasieskole;Stor sal;Nordre Frihavnsgade 9, 2100 København Ø;;ijg@ijg.dk;http://ijg.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;724855;6178530;32N;
Institut for Idræt og Ernæring;K.F.IX Styrkerum;Nørre Allé 57, 2200 København N;;nexs@nexs.ku.dk;;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;723769;6178385;32N;
Institut for Idræt og Ernæring;Dansesal;Nørre Allé 51, 2200 København N;;nexs@nexs.ku.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;Størrelse: 22 x 11 m;723769;6178385;32N;
Institut for Idræt og Ernæring;Herresal;Nørre Allé 51, 2200 København N;;nexs@nexs.ku.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;Størrelse: 22 x 11 m;723769;6178385;32N;
Institut for Idræt og Ernæring;Idrætshallen;Nørre Allé 53, 2200 København N;;nexs@nexs.ku.dk;;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Selvejende institution;Selvejende institution;20 x 45 m;723769;6178385;32N;Håndboldbaner=1
Institut for Idræt og Ernæring;Kong Frederik IX Hallen;Nørre Allé 57, 2200 København N;;nexs@nexs.ku.dk;;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Selvejende institution;Selvejende institution;"Faciliteter til springgymnastik

1558 m2";723769;6178385;32N;
Institut for Idræt og Ernæring;Otto Mønsted Hallen;Nørre Allé 53, 2200 København N;;nexs@nexs.ku.dk;;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Selvejende institution;Selvejende institution;;723769;6178385;32N;Håndboldbaner=1
Institut for Idræt og Ernæring;Svømmehal;Nørre Allé 51, 2200 København N;;nexs@nexs.ku.dk;https://nexs.ku.dk/om_nexs/lokaleudlejning/;København;Hovedstaden;Svømmeanlæg;Indendørs;Selvejende institution;Selvejende institution;"25 m. bassin med 6 baner

Andre svømmebassiner: lille bassin";723769;6178385;32N;Svømmebassiner 25 m=1,Andre svømmebassiner=1
Institut for Idræt og Ernæring;Tennisanlæg;Nørre Allé 55, 2200 København N;;nexs@nexs.ku.dk;;København;Hovedstaden;Tennisanlæg;Udendørs;Selvejende institution;Selvejende institution;Anlægget er ejet af Københavns Universitet og er åbent i sommerperioden. I dagstimerne er banerne forbeholdt studerende.;723769;6178385;32N;Kunststofbaner=3
Institut Sankt Joseph;Gl. Hal;Dag Hammarskjölds Allé 17, 2100 København Ø;;ledelse@sanktjoseph.dk;http://sanktjoseph.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;725124;6177863;32N;
Institut Sankt Joseph;Ny Hal;Dag Hammarskjölds Allé 17, 2100 København Ø;;ledelse@sanktjoseph.dk;http://sanktjoseph.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;725124;6177863;32N;
Katrinedals Skole;Gymnastiksal 54 (pigesal);Vanløse Allé 44, 2720 Vanløse;3874 1742;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;719899;6177154;32N;
Katrinedals Skole;Gymnastiksal 55 (drengesal);Vanløse Allé 44, 2720 Vanløse;3874 1742;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;719899;6177154;32N;
Katrinedalshallen;Badmintonhal;Sallingvej 61, 2720 Vanløse;;;https://foreningsportalen.kk.brnd.com;København;Hovedstaden;Badmintonhaller;Indendørs;Kommunal;Kommunal;Hallen er opstreget til 4 badmintonbaner og volleyball.;719927;6177436;32N;Badmintonbaner=5
Katrinedalshallen;Opvisningssal;Sallingvej 61, 2720 Vanløse;;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;Lokalet har spejlvæg. Der er 1 badmintonbane i lokalet. Der er plads til tilskuere på reposen;719927;6177436;32N;
Katrinedalshallen;Sal;Sallingvej 61, 2720 Vanløse;;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;Der er måtter til taekwondo i salen;719927;6177436;32N;
Kildevældsskolen;Gymnastiksal 201;Bellmansgade 5a, 2100 København Ø;33173131;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;724196;6180142;32N;
Kildevældsskolen;Ny gymnastiksal A;Bellmansgade 5a, 2100 København Ø;33173131;;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;724196;6180142;32N;
